Date,Amount,Payee,Description,Reference
16/08/2024,10000.00,GOOD BEHAVIOUR W,Deposit from Airwallex wallet,Luxme Front-end De
21/08/2024,-6000.00,Australian Tech & Infrastructure Pty Ltd,Pay AUD 6000.00,
21/08/2024,-600.00,Australian Tech & Infrastructure Pty Ltd,Pay AUD 600.00,
12/09/2024,-9.84,Syamil,Pay IDR 100000.00,
17/09/2024,-529.36,Syamil,Pay IDR 5441300.00,
17/09/2024,529.36,GOOD BEHAVIOUR W,Deposit from Airwallex wallet,
08/10/2024,-3222.58,Offspring Digital Limited Company,Pay USD 2150.00,
04/11/2024,6981.66,GOOD BEHAVIOUR W,Deposit from Airwallex wallet,"Ora, 2/6, Offsprin"
07/11/2024,5000.00,GOOD BEHAVIOUR W,Deposit from Airwallex wallet,"ra, 2/2, Tim Natha"
07/11/2024,9052.70,GOOD BEHAVIOUR W,Deposit from Airwallex wallet,"ra, Final Instalme"
14/11/2024,-5010.00,Timothy Nathan,Pay AUD 5000.00 + AUD 10 fee,
