Date,Amount,Payee,Description,Reference
22/07/2024,6885.00,GOOD BEHAVIOUR W,Deposit from wallet,
02/08/2024,-1000.00,Good Behaviour Work Pty Ltd,Pay AUD 1000.00,
05/08/2024,1000.00,GOOD BEHAVIOUR W,Deposit from wallet,
13/08/2024,-4815.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 4815.00,
16/08/2024,191.00,GOOD BEHAVIOUR W,Deposit from wallet,GST on EFFIE COOKE
16/08/2024,2709.00,GOOD BEHAVIOUR W,Deposit from wallet,
16/08/2024,1442.72,GOOD BEHAVIOUR W,Deposit from wallet,Super August
16/08/2024,500.00,GOOD BEHAVIOUR W,Deposit from wallet,GST on LOVELIGHT P
28/08/2024,-2070.00,Good Behaviour Work Pty Ltd,Pay AUD 2070.00,
29/08/2024,-500.00,Good Behaviour Work Pty Ltd,Pay AUD 500.00,
10/09/2024,-2709.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 2709.00,
16/09/2024,1538.00,GOOD BEHAVIOUR W,Deposit from wallet,Tax
26/09/2024,500.00,GOOD BEHAVIOUR W,Deposit from wallet,GST
09/10/2024,5155.00,GOOD BEHAVIOUR W,Deposit from wallet,Tax Super Oct
04/11/2024,198.00,GOOD BEHAVIOUR W,Deposit from wallet,"CLA, GST"
04/11/2024,500.00,GOOD BEHAVIOUR W,Deposit from wallet,Capture Sales GST
04/11/2024,10084.92,GOOD BEHAVIOUR W,Deposit from wallet,"Ora, Offspring, Fr"
07/11/2024,1680.00,GOOD BEHAVIOUR W,Deposit from wallet,"November, Superann"
07/11/2024,3475.00,GOOD BEHAVIOUR W,Deposit from wallet,"November, Employee"
20/11/2024,-3475.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 3475.00,
21/11/2024,-10084.92,Good Behaviour Work Pty Ltd,Pay AUD 10084.92,
26/11/2024,-1849.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 1849.00,
26/11/2024,-1538.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 1538.00,
02/12/2024,-2766.76,Good Behaviour Work Pty Ltd,Pay AUD 2766.76,
10/12/2024,1679.88,GOOD BEHAVIOUR W,Deposit from wallet,Suspense Superannu
10/12/2024,3475.00,GOOD BEHAVIOUR W,Deposit from wallet,Suspense Tax Withh
03/01/2025,-3475.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 3475.00,
03/02/2025,3475.00,GOOD BEHAVIOUR W,Deposit from wallet,"February 2025, Emp"
03/02/2025,1679.88,GOOD BEHAVIOUR W,Deposit from wallet,"February 2025, Sup"
03/03/2025,-9233.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 9233.00,
21/03/2025,-1578.88,australiansuper pty ltd,Pay AUD 1578.88,
03/04/2025,3475.00,GOOD BEHAVIOUR W,Deposit from wallet,"March 2025, Employ"
02/05/2025,855.63,GOOD BEHAVIOUR W,Deposit from wallet,Brad Super April
02/05/2025,1616.00,GOOD BEHAVIOUR W,Deposit from wallet,Brad Tax April
12/05/2025,2246.40,GOOD BEHAVIOUR W,Deposit from wallet,GST Collected Apr
06/06/2025,1495.08,GOOD BEHAVIOUR W,Deposit from wallet,"June 2025, Superan"
06/06/2025,3519.00,GOOD BEHAVIOUR W,Deposit from wallet,"June 2025, Employe"
10/06/2025,-6465.00,AUSTRALIAN TAXATION OFFICE,Pay AUD 6465.00,
20/06/2025,-7815.95,Good Behaviour Work Pty Ltd,Pay AUD 7815.95,
